iso_code,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,InfectRate
IRN,49.831,32.4,5.44,3.182,19082.62,270.308,9.59,0.8,21.1,50.07239772727275,1.5,0.15896690761664256
IRQ,88.125,20.0,3.1860000000000004,1.9569999999999999,15663.986,218.612,8.83,0.1,7.7,94.57600000000001,1.4,0.010620920334072696
ISL,3.404,37.3,14.431,9.207,46482.958,117.992,5.31,14.3,15.2,50.07239772727275,2.91,0.5286446886446886
ISR,402.606,30.6,11.732999999999999,7.359,33132.32,93.32,6.74,15.4,35.4,50.07239772727275,2.99,0.19282445776641804
ITA,205.859,47.9,23.021,16.24,35220.084,113.15100000000001,4.78,19.8,27.8,50.07239772727275,3.18,0.37929220400018343
JAM,266.879,31.4,9.684,6.39,8193.571,206.537,11.28,5.3,28.6,66.425,1.7,0.018573795886140606
JOR,109.285,23.2,3.81,2.3609999999999998,8337.49,208.257,11.75,0.1,7.7,50.07239772727275,1.4,0.006899836716932239
JPN,347.778,48.2,27.049,18.493,39002.223,79.37,5.72,11.2,33.7,50.07239772727275,13.05,0.013085439189007016
KAZ,6.681,30.6,6.9910000000000005,4.625,24055.588,466.792,7.11,7.0,43.1,98.999,6.7,0.044320870533901394
KEN,87.324,20.0,2.6860000000000004,1.528,2993.028,218.637,2.92,1.2,20.4,24.651,1.4,0.002216795948768209
